               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10231,            0.030404,                   0,             0.13872,              0.1028,             0.05792,            0.016211,            0.059104,            0.017403,                   0,            0.070789,           0.0032456,           0.0032456
                   1,            0.076394,            0.028455,                   0,              0.1501,             0.24299,             0.10851,             0.03275,            0.050105,            0.015858,                   0,            0.040659,           0.0064487,           0.0064487
                   2,            0.066815,            0.029947,                   0,              0.2273,             0.23364,             0.14457,            0.045992,            0.049101,            0.013871,                   0,            0.010397,           0.0095198,           0.0095198
                   3,            0.061969,            0.026813,                   0,             0.34054,             0.26636,             0.23214,            0.071037,            0.048169,            0.014533,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.058475,            0.027765,                   0,             0.29332,             0.21963,             0.18493,            0.053538,            0.047352,            0.015193,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.056621,            0.025672,                   0,              0.4569,             0.40493,             0.37027,             0.12633,            0.046192,            0.013239,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.056716,            0.026779,                   0,             0.68942,             0.38785,             0.45546,             0.16482,            0.041459,            0.013463,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.053639,            0.024438,                   0,             0.59945,             0.45794,              0.4703,             0.17508,              0.0433,            0.012743,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.051427,            0.025446,                   0,             0.54399,             0.47942,             0.50548,             0.18192,            0.044128,            0.012848,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.051539,            0.024546,                   0,             0.64256,             0.45794,             0.51503,             0.19604,            0.039613,            0.013437,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.049909,            0.023798,                   0,              0.5187,              0.4486,             0.44439,             0.16138,            0.040573,            0.012876,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.047562,            0.023824,                   0,             0.59496,             0.52853,             0.54598,             0.19151,            0.041621,            0.012463,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.048846,            0.023479,                   0,             0.66197,             0.50467,             0.58245,             0.22229,            0.040408,            0.012093,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.04499,            0.023056,                   0,             0.62244,             0.62617,             0.63131,             0.23828,            0.037706,            0.012006,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.04398,             0.02332,                   0,             0.70105,             0.57477,             0.61164,             0.24744,            0.037631,            0.012335,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.043921,            0.022814,                   0,              0.6947,             0.59813,             0.64805,             0.26877,            0.036584,            0.012067,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.04267,            0.021638,                   0,             0.66056,             0.58199,             0.60045,             0.25069,            0.036957,            0.012627,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.042261,            0.021945,                   0,             0.58857,             0.55607,             0.53669,             0.22143,            0.036939,            0.013085,                   0,            0.006832,            0.006832,            0.006832
