               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10559,            0.030307,                   0,            0.056188,             0.38318,            0.061277,            0.014198,            0.062658,            0.017758,                   0,              0.0748,              0.0028,              0.0028
                   1,            0.076371,            0.029061,                   0,             0.12812,             0.15888,             0.07781,            0.021548,            0.054169,            0.015785,                   0,            0.048644,           0.0056436,           0.0056436
                   2,            0.067274,            0.028951,                   0,             0.25945,             0.28037,             0.18078,            0.055079,            0.052317,            0.014152,                   0,             0.02243,           0.0084297,           0.0084297
                   3,            0.061023,            0.027218,                   0,             0.21842,              0.1729,             0.11632,            0.037951,            0.053872,            0.016908,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.060298,            0.027058,                   0,             0.32349,             0.31507,             0.23149,            0.078675,            0.047956,            0.013738,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.056741,            0.024662,                   0,             0.37497,             0.38407,              0.2818,            0.094706,            0.048302,            0.014358,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.054371,            0.026725,                   0,              0.5449,             0.40654,              0.4242,             0.14208,            0.046883,            0.013619,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.051528,            0.024166,                   0,             0.62634,              0.4486,             0.50698,               0.191,            0.043914,            0.013206,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.051062,            0.024388,                   0,             0.45408,             0.40654,             0.36027,             0.10305,            0.045161,            0.012747,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.052524,            0.023722,                   0,             0.65338,              0.5197,             0.58464,             0.22012,            0.041293,            0.012091,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.048993,            0.023629,                   0,             0.56787,             0.55607,             0.52099,             0.19306,            0.041463,            0.012703,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.047069,            0.023472,                   0,             0.57702,             0.49065,             0.52728,             0.19707,            0.041502,            0.012136,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.046915,            0.023262,                   0,              0.6156,              0.5514,             0.55253,             0.17696,              0.0411,            0.012238,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.045449,            0.022245,                   0,             0.55551,              0.6215,             0.58067,              0.2173,            0.039335,            0.012278,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.04518,            0.023156,                   0,             0.65312,             0.47196,             0.52178,             0.17149,            0.039548,              0.0127,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.044324,            0.022749,                   0,             0.71209,             0.58943,             0.63181,             0.25586,            0.038368,            0.012104,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.043724,            0.021311,                   0,             0.67253,             0.51402,             0.56376,             0.23118,            0.039029,            0.012414,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.042768,             0.02152,                   0,             0.60532,             0.60748,             0.61093,             0.24386,            0.038388,            0.011627,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.042785,            0.020992,                   0,             0.68361,             0.59571,             0.61185,             0.25248,            0.037875,            0.011955,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.04271,            0.020511,                   0,             0.61823,             0.49533,             0.52388,               0.205,            0.039117,            0.012248,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.042073,            0.020957,                   0,             0.68031,             0.59665,             0.60626,             0.23629,            0.038824,            0.012276,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.041923,            0.021179,                   0,             0.63526,             0.61854,             0.60027,             0.21348,            0.039502,            0.012555,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.040275,            0.020755,                   0,             0.71502,             0.57009,             0.64235,             0.27165,            0.038596,            0.011785,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.040354,             0.02096,                   0,             0.67665,             0.63084,             0.65165,              0.2689,            0.038451,            0.011811,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.039333,            0.020093,                   0,             0.67551,             0.60314,              0.6182,             0.26222,            0.037508,            0.011916,                   0,            0.007723,            0.007723,            0.007723
